class_id,鸟种,科学名,体重_g,跗蹠长度_mm,翅长_mm,尾长_mm,喙长_mm,喙宽_mm,喙深_mm,主要生活方式,主要食性,栖息地,分布范围_km2
152,Blue headed Vireo,Vireo solitarius,15.3,18.6,75.3,51.4,13.7,4.0,4.4,Insessorial,Invertivore,Forest,3329804.9
153,Philadelphia Vireo,Vireo philadelphicus,11.5,17.0,66.2,47.1,13.2,3.4,3.5,Insessorial,Invertivore,Woodland,2750346.28
154,Red eyed Vireo,Vireo olivaceus,16.1,18.8,72.8,51.8,15.1,4.4,4.4,Insessorial,Invertivore,Forest,22981311.76
155,Warbling Vireo,Vireo gilvus,12.7,17.6,70.1,51.3,14.3,3.7,3.7,Insessorial,Invertivore,Forest,9680437.56
156,White eyed Vireo,Vireo griseus,11.4,19.5,61.6,48.9,13.7,3.9,4.1,Insessorial,Invertivore,Shrubland,3034548.86
157,Yellow throated Vireo,Vireo flavifrons,18.0,19.3,76.3,48.4,15.1,4.3,4.9,Insessorial,Invertivore,Forest,3167329.54
158,Bay breasted Warbler,Dendroica castanea,11.8,19.1,69.9,51.6,13.5,3.8,3.8,Insessorial,Invertivore,Forest,2650066.12
159,Black and white Warbler,Mniotilta varia,10.9,17.3,68.8,46.6,13.7,2.9,3.3,Insessorial,Invertivore,Forest,5385503.08
160,Black throated Blue Warbler,Dendroica caerulescens,10.1,18.6,62.2,48.9,13.0,3.4,3.3,Insessorial,Invertivore,Forest,1168234.94
161,Blue winged Warbler,Vermivora pinus,8.9,16.3,58.3,42.5,13.0,3.0,3.3,Insessorial,Invertivore,Shrubland,1491745.35
162,Canada Warbler,Wilsonia canadensis,10.0,19.2,62.5,52.7,13.0,4.0,3.6,Insessorial,Invertivore,Forest,2768373.43
163,Cape May Warbler,Dendroica tigrina,10.0,17.5,65.7,45.2,12.6,3.2,3.3,Insessorial,Invertivore,Forest,2530023.76
164,Cerulean Warbler,Dendroica cerulea,9.0,15.5,65.6,42.3,14.3,3.2,3.3,Insessorial,Invertivore,Forest,1849163.51
165,Chestnut sided Warbler,Dendroica pensylvanica,9.3,18.7,61.6,46.2,13.4,3.6,3.6,Insessorial,Invertivore,Forest,2422614.2
166,Golden winged Warbler,Vermivora chrysoptera,8.7,17.9,60.6,44.9,14.6,3.2,3.5,Insessorial,Invertivore,Shrubland,946202.7
167,Hooded Warbler,Wilsonia citrina,10.5,19.2,64.7,55.1,13.7,3.8,3.6,Insessorial,Invertivore,Forest,2007300.04
168,Kentucky Warbler,Oporornis formosus,14.0,22.8,66.9,48.1,13.8,3.5,3.7,Generalist,Invertivore,Forest,1970256.38
169,Magnolia Warbler,Dendroica magnolia,8.1,18.2,58.4,46.5,12.1,3.1,3.1,Insessorial,Invertivore,Forest,3661483.1
170,Mourning Warbler,Oporornis philadelphia,11.7,22.1,59.0,47.8,12.5,3.3,3.6,Insessorial,Invertivore,Forest,2709565.27
171,Myrtle Warbler,Dendroica coronata,11.9,18.7,73.8,56.5,13.1,3.3,3.4,Insessorial,Invertivore,Forest,9938581.44
172,Nashville Warbler,Vermivora ruficapilla,8.1,16.1,56.8,42.4,11.6,2.8,3.5,Insessorial,Invertivore,Forest,2772463.48
173,Orange crowned Warbler,Vermivora celata,9.2,18.4,59.9,46.5,11.8,3.8,4.0,Insessorial,Invertivore,Shrubland,7482895.14
174,Palm Warbler,Dendroica palmarum,10.3,19.1,63.7,51.0,12.9,2.8,3.1,Insessorial,Invertivore,Forest,3394685.27
175,Pine Warbler,Dendroica pinus,11.8,18.6,71.8,54.0,13.4,3.1,3.8,Insessorial,Invertivore,Forest,2073441.98
176,Prairie Warbler,Dendroica discolor,7.6,17.7,55.5,48.4,11.8,2.8,2.9,Insessorial,Invertivore,Shrubland,1565603.51
177,Prothonotary Warbler,Protonotaria citrea,14.3,18.3,68.9,42.7,17.1,3.8,3.9,Insessorial,Invertivore,Forest,2173071.74
178,Swainson Warbler,Limnothlypis swainsonii,18.9,17.7,71.6,49.6,17.8,3.4,4.3,Terrestrial,Invertivore,Shrubland,1142671.96
179,Tennessee Warbler,Vermivora peregrina,8.9,18.3,62.5,42.1,10.9,3.1,3.2,Insessorial,Invertivore,Forest,4777801.14
180,Wilson Warbler,Wilsonia pusilla,7.0,17.9,56.3,48.1,11.6,3.2,3.1,Insessorial,Invertivore,Forest,7961357.24
181,Worm eating Warbler,Helmitheros vermivorum,14.2,17.7,68.3,48.4,15.3,3.7,4.5,Insessorial,Invertivore,Forest,1754178.4
182,Yellow Warbler,Dendroica petechia,10.2,18.4,60.7,44.4,13.8,3.2,3.4,Insessorial,Invertivore,Shrubland,
183,Northern Waterthrush,Seiurus noveboracensis,16.3,23.0,73.9,49.9,18.8,3.5,3.7,Terrestrial,Invertivore,Shrubland,7602956.72
184,Louisiana Waterthrush,Seiurus motacilla,19.9,22.3,79.8,49.0,17.1,4.2,4.5,Terrestrial,Invertivore,Forest,2411690.61
185,Bohemian Waxwing,Bombycilla garrulus,54.4,20.7,116.2,65.8,15.5,5.1,6.0,Insessorial,Omnivore,Forest,12792145.0
186,Cedar Waxwing,Bombycilla cedrorum,31.6,16.7,95.4,59.8,15.1,4.5,4.9,Insessorial,Frugivore,Woodland,7437954.14
